FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
20165145,20420399,(17#)79/2,20193293,93862,20165145,396966,20283568,2.627375,20165145,11.13797901,20292371,144190.246224,4.023231102
20420400,20675654,(17#)40,20429401,94768,20420400,396640,20429401,2.628649,20420400,11.00616515,20547631,145808.098764,4.023806076
20675655,20930909,(17#)81/2,20718961,95826,20825805,406218,20718961,2.625233,20825805,11.07834781,20802891,147375.248226,4.023044865
20930910,21186164,(17#)41,20952691,96814,21111090,416360,21107407,2.622493,20930910,11.28517668,21058150,148944.047302,4.022402256
21186165,21441419,(17#)83/2,21189499,97968,21411390,419618,21411154,2.624482,21411390,11.16747480,21313410,150532.807859,4.022363944
21441420,21696674,(17#)42,21448858,98844,21637770,420208,21448858,2.626527,21637770,11.07997011,21568669,152119.828274,4.022335048
21696675,21951929,(17#)85/2,21713212,100074,21696675,417894,21902344,2.627307,21696675,10.99257766,21823929,153712.325243,4.022506265
21951930,22207184,(17#)43,21959506,101136,21951930,432336,22109926,2.625829,21951930,11.25580191,22079188,155295.465703,4.022483434
22207185,22462439,(17#)87/2,22213771,102100,22207185,442114,22446616,2.626041,22207185,11.39363620,22334447,156883.883998,4.022648565
22462440,22717694,(17#)44,22473203,103180,22537515,434160,22683424,2.626940,22537515,11.04391876,22589706,158465.680328,4.022692573
22717695,22972949,(17#)89/2,22724059,104118,22717695,439730,22916389,2.628539,22717695,11.10733001,22844965,160011.271137,4.021876193
22972950,23228204,(17#)45,23002948,105222,23130030,443444,23227639,2.627468,23130030,11.02484017,23100224,161562.986551,4.021275363
23228205,23483459,(17#)91/2,23248021,106040,23393370,453994,23248021,2.624545,23393370,11.17497980,23355483,163120.621426,4.020878736
23483460,23738714,(17#)46,23488132,107362,23483460,468224,23613664,2.628503,23483460,11.48623626,23610742,164698.242667,4.021024355
23738715,23993969,(17#)93/2,23763461,108244,23738715,468030,23763461,2.627766,23738715,11.37249544,23866001,166263.380839,4.020911179
23993970,24249224,(17#)47,24001561,109258,23993970,466686,24170554,2.626512,23993970,11.23333669,24121259,167833.696006,4.020967153
24249225,24504479,(19#)5/2,24261502,110444,24249225,487410,24496594,2.621733,24249225,11.62313884,24376518,169406.828771,4.021133294
24504480,24759734,(17#)48,24513589,111322,24534510,473846,24691036,2.622891,24534510,11.18365895,24631776,170952.302678,4.020687863
24759735,25014989,(17#)97/2,24766757,112402,24819795,483694,24916354,2.626999,24819795,11.30021101,24887035,172512.320041,4.020630627
25014990,25270244,(17#)49,25016557,113274,25210185,473730,25251022,2.623810,25014990,10.97252060,25142293,174081.167523,4.020819007
25270245,25525499,(17#)99/2,25283017,114356,25390365,482048,25283017,2.628372,25390365,11.03809237,25397551,175635.139190,4.020702844
25525500,25780754,(17#)50,25527844,115456,25741485,494268,25696939,2.623817,25741485,11.18152319,25652810,177200.497902,4.020886976
