START,n_geom,C_avg,Cpred_avg,Lambda_avg
(11#)37/2,43308,4.011115,4.037751,-6.618554e-03
(11#)19,44463,4.004938,4.037178,-8.017683e-03
(13#)3/2,45618,4.011821,4.037647,-6.416704e-03
(11#)20,46773,3.995088,4.037329,-1.051786e-02
(11#)41/2,47929,4.001174,4.037992,-9.159641e-03
(11#)21,49084,4.005415,4.036710,-7.782797e-03
(11#)43/2,50239,4.016569,4.037141,-5.108594e-03
(11#)22,51394,4.012629,4.036836,-6.014710e-03
(11#)45/2,52549,4.013069,4.036797,-5.895310e-03
(11#)23,53704,4.013727,4.037188,-5.828332e-03
(11#)47/2,54859,4.026321,4.036695,-2.573131e-03
(11#)24,56014,4.022016,4.036605,-3.620645e-03
(11#)49/2,57169,4.018045,4.036555,-4.596109e-03
(11#)25,58324,4.009461,4.036528,-6.728055e-03
(11#)51/2,59479,4.004974,4.036133,-7.749797e-03
(13#)2,60634,4.021213,4.036457,-3.783880e-03
(11#)53/2,61789,4.027165,4.036445,-2.301833e-03
(11#)27,62944,4.027227,4.036386,-2.271489e-03
(11#)55/2,64099,4.042465,4.036401,1.501341e-03
(11#)28,65254,4.025187,4.035918,-2.662582e-03
(11#)57/2,66409,4.022208,4.035930,-3.405560e-03
(11#)29,67565,4.014983,4.036111,-5.248437e-03
(11#)59/2,68720,4.021830,4.035967,-3.509026e-03
