START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
(7#)105/2,11054,2.258518,11087,2.669831,11025,8.55056947,11025,8.54278948,11077,3.992545989,4.040993003,2.028390,2.028390,1.999423
(7#)53,11197,2.391314,11213,2.669801,11130,8.57999332,11130,8.71018917,11182,4.025832058,4.048667546,2.032144,2.032144,2.003209
(7#)107/2,11272,2.131467,11329,2.669763,11235,8.73451914,11235,8.62390003,11287,3.981372281,4.039031346,2.035976,2.035976,2.007077
(7#)54,11353,2.334737,11443,2.669714,11385,8.42939459,11340,8.54244131,11392,4.001538883,4.043664349,2.039887,2.039887,2.011022
(7#)109/2,11461,2.347919,11549,2.669692,11445,8.57779617,11445,8.62220880,11497,3.971367973,4.039289919,2.043188,2.043188,2.014350
(11#)5,11593,2.296655,11633,2.669665,11550,9.48545130,11550,9.49141587,11602,4.004035652,4.044002680,2.046708,2.046708,2.017902
(7#)111/2,11749,2.392249,11743,2.669620,11655,8.60649982,11655,8.78619854,11707,3.996074489,4.047534597,2.050247,2.050247,2.021466
(7#)56,11839,2.348206,11863,2.669582,11760,8.39587779,11760,8.54204077,11812,3.976595295,4.040638484,2.053972,2.053972,2.025219
(7#)113/2,11932,2.392674,11969,2.669561,11865,8.36774564,11865,8.61893084,11917,3.981939577,4.041350956,2.057079,2.057079,2.028365
(7#)57,11971,2.386736,12073,2.669529,11970,8.98693403,11970,9.04434477,12022,4.002691818,4.041278721,2.060389,2.060389,2.031705
(7#)115/2,12101,2.395745,12163,2.669492,12075,8.57491459,12075,8.94850011,12127,4.044790224,4.048322666,2.064269,2.064269,2.035609
(7#)58,12281,2.223656,12281,2.669467,12180,8.86473307,12180,8.85801523,12232,4.019047077,4.044169056,2.067229,2.067229,2.038596
(7#)117/2,12326,2.217079,12347,2.669437,12285,9.18105503,12285,9.31810444,12337,4.042543890,4.043657717,2.070217,2.070217,2.041614
