START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
11PR183/2,211575,10.120136,211365,10.138410,-1.804085e-03
11PR92,212520,10.366459,212520,10.443874,-7.440042e-03
11PR185/2,213675,10.251590,213675,10.253700,-2.058132e-04
11PR93,214830,10.229243,214830,10.312406,-8.097004e-03
11PR187/2,215985,10.564516,215985,10.632944,-6.456231e-03
11PR94,217140,10.079326,217140,10.189620,-1.088316e-02
11PR189/2,218295,10.108196,218295,9.967836,1.398308e-02
11PR95,219450,10.526729,219450,10.553888,-2.576699e-03
11PR191/2,220605,10.060605,220605,10.020030,4.041221e-03
11PR96,221760,9.922062,221760,9.967021,-4.521003e-03
11PR193/2,222915,10.044046,223860,10.036282,7.733071e-04
11PR97,224070,10.154092,224070,10.071459,8.171163e-03
13PR15/2,225225,10.908612,225225,10.872312,3.333241e-03
11PR98,226380,10.005123,226380,9.966020,3.916040e-03
11PR197/2,227535,10.016147,227535,10.016866,-7.177053e-05
11PR99,229425,9.902846,228690,9.965496,-6.306563e-03
11PR199/2,229845,9.975454,229845,10.015824,-4.038829e-03
11PR100,232050,10.431497,232050,10.435862,-4.184459e-04
11PR201/2,232155,10.114940,232155,10.118088,-3.112100e-04
11PR101,233415,10.347429,233415,10.358828,-1.101012e-03
11PR203/2,234465,10.332070,234465,10.333321,-1.210884e-04
11PR102,235620,10.586492,235620,10.628286,-3.940093e-03
11PR205/2,236775,10.188959,236775,10.219250,-2.968544e-03
11PR103,237930,10.111239,237930,10.062165,4.865320e-03
11PR207/2,239085,10.340387,239085,10.437771,-9.373787e-03
13PR8,240240,10.827911,240240,10.868810,-3.770103e-03
11PR209/2,241395,10.522724,241395,10.548881,-2.482640e-03
11PR105,242550,9.950452,242550,9.962584,-1.218492e-03
11PR211/2,243705,9.918427,243705,10.010008,-9.191057e-03
11PR106,244860,10.114964,244860,10.157431,-4.189640e-03
11PR213/2,246015,10.034820,246015,10.106288,-7.096797e-03
11PR107,247170,9.979148,247170,10.056542,-7.725710e-03
11PR215/2,248325,10.215598,248325,10.204393,1.097424e-03
11PR108,249795,9.959164,249480,9.961191,-2.034522e-04
11PR217/2,250635,10.350352,250635,10.304437,4.446015e-03
11PR109,252525,10.060309,252525,10.058917,1.384695e-04
11PR219/2,253890,10.044185,253890,10.116453,-7.169174e-03
11PR110,254100,9.896601,254100,9.960302,-6.416069e-03
17PR/2,255255,11.499473,255255,11.589901,-7.832911e-03
13PR9,270270,10.766986,270270,10.862499,-8.831806e-03
13PR19/2,285285,11.432511,285285,11.498441,-5.750263e-03
13PR10,300300,10.834329,300300,10.856925,-2.083453e-03
13PR21/2,315315,10.896221,315315,10.854354,3.849788e-03
13PR11,330330,10.861132,330330,10.851949,8.459003e-04
13PR23/2,345345,11.351391,345345,11.366309,-1.313324e-03
13PR12,373065,11.171467,373065,11.228459,-5.088600e-03
13PR25/2,375375,10.870470,375375,10.845369,2.311723e-03
13PR13,390390,10.753369,390390,10.843356,-8.333416e-03
13PR27/2,405405,10.798774,405405,10.841463,-3.945323e-03
13PR14,420420,10.837563,420420,10.839639,-1.915330e-04
13PR29/2,435435,11.269855,435435,11.239287,2.716030e-03
13PR15,451605,11.036116,451605,11.099783,-5.752456e-03
13PR31/2,465465,11.208695,465465,11.208159,4.780510e-05
13PR16,480480,10.899529,480480,10.832972,6.125180e-03
13PR33/2,504735,10.987550,504735,11.012580,-2.275425e-03
17PR,510510,11.530200,510510,11.551990,-1.887992e-03
13PR35/2,525525,10.912494,533715,10.889702,2.090808e-03
13PR18,540540,10.790168,540540,10.827189,-3.425097e-03
13PR37/2,555555,11.081476,555555,11.135174,-4.834039e-03
13PR19,570570,11.435282,570570,11.461314,-2.273793e-03
13PR39/2,596505,10.772315,585585,10.823321,-4.723747e-03
13PR20,608685,10.910430,608685,10.945862,-3.242293e-03
13PR41/2,615615,11.100238,615615,11.098372,1.681096e-04
13PR21,636405,10.888125,636405,10.890049,-1.766962e-04
13PR43/2,645645,11.117430,645645,11.082520,3.145070e-03
