START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
11PR155/2,179083,2.529322,180179,2.662336,-5.125265e-02
13PR6,180379,2.501151,181303,2.662324,-6.244840e-02
11PR157/2,181919,2.535068,182489,2.662311,-4.897408e-02
11PR79,182519,2.515243,183637,2.662299,-5.682062e-02
11PR159/2,184696,2.506373,184777,2.662287,-6.034884e-02
11PR80,185578,2.512282,185951,2.662274,-5.798914e-02
11PR161/2,187024,2.533868,187091,2.662262,-4.942915e-02
11PR81,187471,2.522543,188261,2.662250,-5.390411e-02
11PR163/2,189094,2.510677,189407,2.662238,-5.861468e-02
11PR82,189817,2.521375,190573,2.662226,-5.435823e-02
11PR165/2,191626,2.523077,191717,2.662215,-5.367929e-02
11PR83,191768,2.509171,192883,2.662202,-5.920118e-02
11PR167/2,193639,2.501153,194027,2.662191,-6.239764e-02
11PR84,194767,2.519507,195193,2.662180,-5.508209e-02
13PR13/2,195751,2.518018,196337,2.662168,-5.566874e-02
11PR85,197402,2.512439,197479,2.662157,-5.788270e-02
11PR171/2,198046,2.523633,198659,2.662145,-5.343266e-02
11PR86,199021,2.495353,199813,2.662134,-6.469785e-02
11PR173/2,200899,2.517394,200929,2.662124,-5.590006e-02
11PR87,201904,2.515768,202121,2.662112,-5.654167e-02
11PR175/2,203128,2.520731,203279,2.662101,-5.456672e-02
11PR88,203417,2.508934,204431,2.662090,-5.925357e-02
11PR177/2,204928,2.464243,205589,2.662080,-7.722311e-02
11PR89,205924,2.529874,206699,2.662069,-5.093414e-02
11PR179/2,206984,2.513240,207877,2.662058,-5.752675e-02
11PR90,208129,2.513207,209039,2.662047,-5.753575e-02
11PR181/2,209362,2.520880,210209,2.662037,-5.448357e-02
13PR7,210557,2.506060,211349,2.662026,-6.037569e-02
11PR183/2,211459,2.494267,212507,2.662016,-6.508883e-02
11PR92,212644,2.547725,213659,2.662005,-4.387879e-02
11PR185/2,213784,2.541986,214817,2.661995,-4.613018e-02
11PR93,215854,2.563496,215983,2.661985,-3.770013e-02
11PR187/2,216917,2.525146,217121,2.661975,-5.276945e-02
11PR94,217697,2.481485,218287,2.661964,-7.020702e-02
11PR189/2,219311,2.546183,219437,2.661955,-4.446544e-02
11PR95,220453,2.532386,220589,2.661945,-4.989512e-02
11PR191/2,221332,2.526687,221747,2.661935,-5.214434e-02
11PR96,222634,2.538822,222913,2.661925,-4.734935e-02
11PR193/2,223469,2.547178,224069,2.661915,-4.405971e-02
11PR97,225002,2.551522,225223,2.661905,-4.235199e-02
13PR15/2,225892,2.548480,226379,2.661895,-4.354117e-02
11PR98,227251,2.549104,227533,2.661886,-4.329297e-02
11PR197/2,228097,2.525164,228677,2.661877,-5.272550e-02
11PR99,229234,2.519971,229841,2.661867,-5.478036e-02
11PR199/2,230848,2.518411,230999,2.661857,-5.539585e-02
11PR100,231643,2.524351,232153,2.661848,-5.303662e-02
11PR201/2,232189,2.532524,233297,2.661839,-4.980080e-02
11PR101,233978,2.534564,234463,2.661829,-4.899185e-02
11PR203/2,235028,2.506846,235607,2.661820,-5.998471e-02
11PR102,236092,2.538865,236773,2.661811,-4.728959e-02
11PR205/2,237883,2.566648,237929,2.661802,-3.640257e-02
11PR103,238892,2.539570,239081,2.661793,-4.700518e-02
11PR207/2,239857,2.497741,240209,2.661784,-6.360985e-02
13PR8,241393,2.514952,241393,2.661775,-5.673948e-02
11PR209/2,242119,2.534017,242533,2.661766,-4.918402e-02
11PR105,243043,2.536059,243703,2.661757,-4.837513e-02
11PR211/2,243736,2.522425,244859,2.661748,-5.376231e-02
11PR106,245587,2.544113,246011,2.661739,-4.519761e-02
11PR213/2,246518,2.561050,247141,2.661731,-3.855933e-02
11PR107,247868,2.534405,248323,2.661722,-4.901439e-02
11PR215/2,248867,2.548208,249463,2.661714,-4.357991e-02
11PR108,249512,2.527815,250619,2.661705,-5.161160e-02
11PR217/2,251081,2.534266,251789,2.661697,-4.905984e-02
11PR109,252071,2.523456,252937,2.661688,-5.333112e-02
11PR219/2,253741,2.514393,254083,2.661680,-5.692608e-02
11PR110,255214,2.528919,255253,2.661671,-5.116218e-02
17PR/2,259801,2.503359,262144,2.661612,-6.129852e-02
13PR9,272794,2.510783,285283,2.661467,-5.828282e-02
13PR19/2,285424,2.505523,300299,2.661375,-6.034541e-02
13PR10,303904,2.513081,315313,2.661288,-5.730073e-02
13PR21/2,324223,2.512902,330329,2.661205,-5.734077e-02
13PR11,340261,2.521429,345329,2.661127,-5.392391e-02
13PR23/2,354971,2.521369,360337,2.661053,-5.391990e-02
13PR12,366794,2.499164,375373,2.660982,-6.273895e-02
13PR25/2,386068,2.523716,390389,2.660914,-5.293725e-02
13PR13,401509,2.524416,405401,2.660850,-5.263587e-02
13PR27/2,414448,2.520611,420419,2.660788,-5.412099e-02
13PR14,431146,2.523703,435427,2.660728,-5.287250e-02
13PR29/2,448444,2.521152,450431,2.660671,-5.386241e-02
13PR15,463549,2.513127,465463,2.660617,-5.703026e-02
13PR31/2,467009,2.541140,480463,2.660564,-4.592533e-02
13PR16,488339,2.536748,495491,2.660513,-4.763602e-02
13PR33/2,498436,2.527659,510481,2.660464,-5.120697e-02
17PR,515611,2.539315,524288,2.660415,-4.658777e-02
13PR35/2,535858,2.540830,540539,2.660371,-4.597479e-02
13PR18,548461,2.531963,555523,2.660326,-4.945378e-02
13PR37/2,569077,2.543991,570569,2.660283,-4.469840e-02
13PR19,571262,2.550486,585581,2.660242,-4.213317e-02
13PR39/2,588338,2.563074,600577,2.660201,-3.719436e-02
13PR20,612022,2.551653,615607,2.660162,-4.164564e-02
13PR41/2,621472,2.552996,630613,2.660123,-4.110479e-02
13PR21,633967,2.541689,645641,2.660086,-4.552963e-02
13PR43/2,656629,2.539026,660659,2.660050,-4.656438e-02
