START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)110,254788,2.720112,255253,2.801281,254100,9.89660058,254100,9.96030199,254676,4.228711734,4.242731819,158.899010,2.704789
(17#)/2,259801,2.693910,262144,2.800899,255255,11.49947288,255255,11.58990092,262655,4.232086586,4.242699020,160.756979,2.705438
(13#)9,283903,2.691665,285283,2.799760,270270,10.76698583,270270,10.86249892,277676,4.227480986,4.241553621,166.807497,2.707502
(13#)19/2,299479,2.682900,300299,2.799061,285285,11.43251138,285285,11.49844070,292696,4.228919048,4.240511221,170.591295,2.708694
(13#)10,303904,2.684643,315313,2.798397,300300,10.83432888,300300,10.85692523,307715,4.230246548,4.239419375,174.272511,2.709795
(13#)21/2,316189,2.695075,330329,2.797777,315315,10.89622103,315315,10.85435353,322735,4.224164239,4.238499808,177.859581,2.710826
(13#)11,333934,2.687372,345329,2.797186,330330,10.86113245,330330,10.85194890,337754,4.223846063,4.237527758,181.354929,2.711784
(13#)23/2,352771,2.687174,360337,2.796621,345345,11.35139080,345345,11.36630865,352772,4.224835686,4.236670648,184.770083,2.712677
(13#)12,367261,2.692325,375373,2.796079,373065,11.17146670,373065,11.22845871,367790,4.224375634,4.235821984,188.114565,2.713514
(13#)25/2,383524,2.697450,390389,2.795560,375375,10.87046955,375375,10.84536906,382808,4.222182982,4.235036707,191.382369,2.714297
(13#)13,394369,2.696179,405401,2.795072,390390,10.75336897,390390,10.84335570,397826,4.224380236,4.234297996,194.581415,2.715043
